title,subtitle,categories,authors,isbn13,thumbnail,description,num_pages
Lord of Chaos,Book Six of 'The Wheel of Time',fiction,Robert Jordan,9780812513752,http://books.google.com/books/content?id=UcfrSLHYDgIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Wheel of Time ® is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters. The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow. On the slopes of Shayol Ghul, the Myrddraal swords are forged, and the sky is not the sky of this world; In Salidar the White Tower in exile prepares an embassy to Caemlyn, where Rand Al'Thor, the Dragon Reborn, holds the throne--and where an unexpected visitor may change the world.... In Emond's Field, Perrin Goldeneyes, Lord of the Two Rivers, feels the pull of ta'veren to ta'veren and prepares to march... Morgase of Caemlyn finds a most unexpected, and quite unwelcome, ally....And south lies Illian, where Sammael holds sway... TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —Variety The Wheel of Time® New Spring: The Novel #1 The Eye of the World #2 The Great Hunt #3 The Dragon Reborn #4 The Shadow Rising #5 The Fires of Heaven #6 Lord of Chaos #7 A Crown of Swords #8 The Path of Daggers #9 Winter's Heart #10 Crossroads of Twilight #11 Knife of Dreams By Robert Jordan and Brandon Sanderson #12 The Gathering Storm #13 Towers of Midnight #14 A Memory of Light By Robert Jordan and Teresa Patterson The World of Robert Jordan's The Wheel of Time By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons The Wheel of Time Companion By Robert Jordan and Amy Romanczuk Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time",1011.0
Red Prophet,The Tales of Alvin Maker,fiction,Orson Scott Card,9780812524260,http://books.google.com/books/content?id=s5q4wQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Alvin Maker is drawn into the political manueverings of his visionary brother and a French colonel exiled to Fort Detroit named Napoleon Bonapart, in this tale set in the frontier of a magical alternate America",311.0
Orion,A Novel,fiction,Ben Bova,9780812532470,http://books.google.com/books/content?id=bxxx7tFkhRYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Eternal warrior John O'Ryan challenges the Dark Lord's dominion over the earth in a battle for control of the future. Reissue.,432.0
The Ships of Earth,Homecoming:,fiction,Orson Scott Card,9780812532630,http://books.google.com/books/content?id=5Vo-mgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The City of Basilica has fallen. Now Wetchik, Nafai, and all their family must brave the desert wastes, and cross the wide continents to where Harmony's hidden spaceport lies silent, abandoned, waiting for the command to make the great interstellar ships ready for flight again. But of these sixteen people, only a few have chosen their exile. The others, Rasa's spiteful daughters and their husbands; Wetchik's oldest son, Elemak, have been forced against their will. Their anger and hatreds will make the difficult journey harder.",351.0
Roc and a Hard Place,A Xanth Novel,fiction,Piers Anthony,9780812534863,http://books.google.com/books/content?id=8eKZvEWEY98C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the land of Xanth, Roxanne Roc, a bird, must stand trial before Demoness Metria and Magician Humfrey",344.0
A Crown of Swords,Book Seven of 'The Wheel of Time',fiction,Robert Jordan,9780812550283,http://books.google.com/books/content?id=d0lWqpVm9YkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Elayne, Aviendha, and Mat work to restore the world's natural weather, while Egwene gathers a group of female channelers and Rand confronts the dread Forsaken Sammael, in the seventh volume in the Wheel of Time series. Reprint.",880.0
The Fourth Book of Lost Swords,Farslayer's Story,fiction,Fred Saberhagen,9780812552843,http://books.google.com/books/content?id=B_hiWr4ykIEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Black Pearl, a mermaid, Cosmos, her treacherous lover, Prince Zoltan and Prince Mark, the evil macrowizard Wood, and a griffin-riding beauty all compete for possession of the sword, Farslayer",252.0
Yon Ill Wind,A Xanth Novel,fiction,Piers Anthony,9780812555103,http://books.google.com/books/content?id=GW_lBljFBlgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When a tempestuous hurricane blows in Xanth, the Demon X(A/N)th joins forces with a vixen named Chlorine and a human family to save the land frOM the storms winds of mischief and madness. Reprint.",340.0
Legends,Short Novels by the Masters of Modern Fantasy,fiction,George R. R. Martin;Anne McCaffrey,9780812575231,http://books.google.com/books/content?id=kxNFAwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The second of three volumes, which were originally published in one volume as: Legends.",379.0
Winter's Heart,Book Nine of 'The Wheel of Time',fiction,Robert Jordan,9780812575583,http://books.google.com/books/content?id=4W5RQY_MiMEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the continuing Wheel of Time saga, Rand and Min are on the run, while Black Tower leader Mazrim Taim is exposed, a Seanchan princess arrives in Ebou Dar and the schemers of the White Tower are beset by rebels.",780.0
